titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
VulnNet: dotpy,https://tryhackme.com/room/vulnnetdotpy,medium,challenge,75,4282,2021-04-07,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Nmap,VulnNet Entertainment is back with their brand new website... and stronger?
Fortress,https://tryhackme.com/room/fortress,medium,challenge,60,4270,2021-09-03,Red,Code review; Exploit development; Port scanning; Privilege escalation,Linux; Web,,Hack this machine and reclaim the fortress from the Evil Overlord!
Spring,https://tryhackme.com/room/spring,hard,challenge,45,4213,2020-08-19,Red,Penetration testing; Red teaming,Linux,Gobuster; Nmap,Can you hack your way in to a Hello World application?
ret2libc,https://tryhackme.com/room/ret2libc,medium,walkthrough,90,4205,2022-01-26,Red,Buffer overflow exploitation; Debugging; Dynamic malware analysis; Static malware analysis,Linux,Ghidra; Pwntools NEW,"This room teaches basic return-oriented programming (ROP), exploitation of binaries and an ASLR bypass."
Moebius,https://tryhackme.com/room/moebius,hard,challenge,90,4201,2025-04-25,Red,Application penetration testing,Linux,,"A place where you start at some point, and you have to go back to it in the end."
Metamorphosis,https://tryhackme.com/room/metamorphosis,medium,challenge,75,4173,2021-07-20,Red,Application penetration testing; Packet analysis; Penetration testing; Privilege escalation,Linux,Dirbuster; Nmap; Wireshark,Part of Incognito CTF
Hamlet,https://tryhackme.com/room/hamlet,medium,challenge,120,4146,2022-01-14,Red,Application penetration testing; Brute force attacks; Privilege escalation; Reverse shell techniques,Linux,,A Shakespeare/Hamlet-inspired room in which you will explore an uncommon web application used in linguistic/NLP research.
IR Timeline Analysis,https://tryhackme.com/room/dfirtimelineanalysis,medium,walkthrough,60,4145,2024-05-22,Blue,Digital forensics; Timeline analysis,Linux,Autospy; Plaso,Learn about timeline analysis using various tools and scenarios.
Mountaineer,https://tryhackme.com/room/mountaineerlinux,hard,challenge,150,4109,2024-10-18,Red,,Linux,,Will you find the flags between all these mountains?
Lumberjack Turtle,https://tryhackme.com/room/lumberjackturtle,medium,challenge,60,4059,2022-01-21,Red,Application penetration testing; Directory enumeration; Exploit development; Lateral movement; Network penetration testing; Penetration testing; Port scanning; Red teaming,,,"No logs, no crime... so says the lumberjack."
Defensive Security Intro,https://tryhackme.com/room/dsicyber1013n3,easy,walkthrough,20,4056,2026-01-01,,,,,"Introducing defensive security, where you will investigate an ongoing attack at FakeBank"
Racetrack Bank,https://tryhackme.com/room/racetrackbank,hard,challenge,120,4042,2020-05-08,Red,Exploit development; Penetration testing; Privilege escalation; Red teaming,Linux,,It's time for another heist.
Chronicle,https://tryhackme.com/room/chronicle,medium,challenge,75,3983,2021-08-06,Red,Penetration testing; Red teaming,Linux,Burp Suite; Nmap,Part of Incognito CTF
Rocket,https://tryhackme.com/room/rocket,hard,challenge,60,3950,2021-07-22,Red,Network penetration testing; Privilege escalation; Red teaming; Reverse shell techniques; Subdomain enumeration,Linux,,Get ready for blast off!
Plant Photographer,https://tryhackme.com/room/plantphotographer,hard,challenge,60,3949,2026-03-27,Red,,,,Dig deeper and try to uncover the flag hidden behind the scenes.
Capture Returns,https://tryhackme.com/room/capturereturns,hard,challenge,240,3945,2024-04-19,Red,Exploitation; Penetration testing,Linux; Web,,The developers have improved their login form since last time. Can you bypass it?
Theseus,https://tryhackme.com/room/theseus,insane,challenge,180,3898,2020-08-30,Red,Exploitation; Penetration testing; Red teaming,Linux,Nmap,The first installment of the SuitGuy series of very hard challenges.
Forgotten Implant,https://tryhackme.com/room/forgottenimplant,medium,challenge,180,3892,2023-07-28,Red,Exploitation; Penetration testing; Privilege escalation; Red teaming,Linux,,"With almost no attack surface, you must use a forgotten C2 implant to get initial access."
Exploring Wazuh,https://tryhackme.com/room/exploringwazuh,medium,walkthrough,60,3871,2026-08-13,Blue,Log analysis; SIEM engineering; Security analysis,Linux; Windows,Wazuh,Explore Wazuh: an all-in-one and free security solution.
Grand Larceny Auto,https://tryhackme.com/room/grandlarcenyauto,medium,challenge,60,3870,2026-07-24,Blue,Code review; Debugging; Enumeration,Windows,DnSpy,Reverse-engineer a small 3D crime game to break into a vault the developers made unreachable.
Cold VVars,https://tryhackme.com/room/coldvvars,medium,challenge,75,3816,2021-07-09,Red,Penetration testing; Red teaming,Linux,Burp Suite; Nmap,Part of Incognito CTF
Grand Larceny Auto II,https://tryhackme.com/room/grandlarcenyautoii,medium,challenge,60,3815,2026-08-14,Blue,Code review; Debugging,Linux,Burp Suite; ILSpy,"The sequel that shipped, with a vault the developers made that you can't just decompile your way into."
Web Frameworks: Code Review,https://tryhackme.com/room/webframeworkscodereview,medium,walkthrough,60,3805,2026-07-06,Red,Code review; SQL injection; Web application security,Docker; Web,curl,"Read web app source like an attacker: trace user input to dangerous sinks, triage with Semgrep."
Race Conditions Challenge,https://tryhackme.com/room/raceconditions,medium,challenge,180,3763,2023-06-09,Red,Code review; Exploitation; Lateral movement; Penetration testing; Red teaming; Scripting,Linux,,Knock knock! Race condition. Who's there?
toc2,https://tryhackme.com/room/toc2,medium,challenge,75,3721,2020-10-04,Red,Penetration testing; Privilege escalation; Red teaming,Linux; Web,Gobuster; Hydra; Nmap,It's a setup... Can you get the flags in time?
Detection Rules Development,https://tryhackme.com/room/detectionrulesdevelopment,medium,walkthrough,90,3688,2026-06-16,Blue,Detection engineering; SIEM engineering,,"ELK Stack (Elasticsearch,Logstash,Kibana)","Explore the types of detection, how to use them in Elastic, and the process behind effective rules."
broker,https://tryhackme.com/room/broker,medium,challenge,75,3662,2021-03-10,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,,Paul and Max use a rather unconventional way to chat. They do not seem to know that eavesdropping is possible though...
Crylo,https://tryhackme.com/room/crylo4a,medium,walkthrough,60,3651,2023-08-11,Red,Application penetration testing; Code review; Exploit development; Network penetration testing; Penetration testing; Port scanning; Red teaming,Linux,,Learn about the CryptoJS library and JavaScript-based client-side encryption and decryption.
Wazuh: CVE-2026-25769,https://tryhackme.com/room/wazuhcve202625769,medium,walkthrough,45,3557,2026-03-31,Red,Application penetration testing; Penetration testing,Docker; Web,Wazuh,Learn how attackers exploit CVE-2026-25769 in Wazuh to gain RCE.
PalsForLife,https://tryhackme.com/room/palsforlife,medium,challenge,75,3530,2021-09-28,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,,Gobuster; Hydra; Nmap,Abuse a misconfigured Kubernetes cluster
Traffic Analysis Pitfalls,https://tryhackme.com/room/trafficanalysispitfalls,medium,walkthrough,90,3513,2026-06-04,,,,,"Learn about Visibility, Context, and Gaps in the traffic Analysis."
AppSec IR,https://tryhackme.com/room/appsecir,medium,walkthrough,60,3491,2025-09-15,Blue,Application security engineering; Incident response,Web,,An introduction into the overlapping worlds of AppSec and IR.
pyLon,https://tryhackme.com/room/pylonzf,medium,challenge,75,3474,2021-03-24,Red,Exploitation,Linux,,Can you penetrate the defenses and become root?
Carpe Diem 1,https://tryhackme.com/room/carpediem1,hard,challenge,120,3437,2020-06-12,Red,Penetration testing; Red teaming,Linux,Burp Suite; Nmap,Recover your clients encrypted files before the ransomware timer runs out!
VulnNet: dotjar,https://tryhackme.com/room/vulnnetdotjar,medium,challenge,75,3383,2021-04-23,Red,Exploitation; Penetration testing; Port scanning; Red teaming,Linux; Web,John the Ripper; Nmap,VulnNet Entertainment never gives up... are you ready?
Event Horizon,https://tryhackme.com/room/eventhorizonroom,hard,challenge,120,3349,2025-08-08,,,,,Unearth the secrets beyond the Event Horizon.
CVE-2026-43284: Dirty Frag,https://tryhackme.com/room/cve202643284,easy,walkthrough,30,3288,2026-05-13,Purple,Privilege escalation,Linux,,"Exploit Dirty Frag, a chained Linux LPE that bypasses every major distro's defences."
Misguided Ghosts,https://tryhackme.com/room/misguidedghosts,hard,challenge,120,3241,2020-10-14,Red,Application penetration testing; Penetration testing; Port scanning,Linux,Burp Suite; CyberChef; Hydra,Collaboration between Jake and Blob!
Re-Testing,https://tryhackme.com/room/retesting,medium,walkthrough,90,3223,2026-05-21,Red,Application penetration testing; Web application security,Web,,"Verify vulnerability remediations, spot incomplete fixes, and produce re-test reports for auditors."
Red Stone One Carat,https://tryhackme.com/room/redstoneonecarat,medium,challenge,75,3203,2021-05-12,Red,Brute force attacks; Privilege escalation; Scripting,Linux,,First room of the Red Stone series. Hack ruby using ruby.
Contrabando,https://tryhackme.com/room/contrabando,hard,challenge,120,3180,2025-08-15,Red,Application penetration testing; Network penetration testing; Penetration testing; Red teaming,Linux; Web,,Never tell me the odds.
Frank & Herby make an app,https://tryhackme.com/room/frankandherby,medium,challenge,60,3179,2021-11-02,Red,File system navigation; Port scanning; Privilege escalation; System administration,Linux,,Learn how the misconfiguration of containers can lead to opportunities for some and disasters for others.
envizon,https://tryhackme.com/room/envizon,hard,challenge,120,3029,2020-11-22,Red,Application penetration testing; Red teaming,Linux; Web,,Attacking the pentesters
GameBuzz,https://tryhackme.com/room/gamebuzz,hard,challenge,360,3011,2021-08-10,Red,Application penetration testing; Exploit development; Privilege escalation; Reverse shell techniques,Linux; Web,,Part of Incognito CTF
Plotted-EMR,https://tryhackme.com/room/plottedemr,hard,challenge,70,2937,2022-01-20,Red,Application penetration testing; Penetration testing; Red teaming,Linux,Metasploit Framework; Nmap; searchsploit,Everything here is plotted!
Plotted-LMS,https://tryhackme.com/room/plottedlms,hard,challenge,120,2823,2022-04-22,Red,Application penetration testing; Penetration testing; Privilege escalation; Red teaming,Linux,Dirbuster; Nmap; searchsploit,Everything here is plotted!
Motunui,https://tryhackme.com/room/motunui,hard,challenge,120,2808,2020-09-30,Red,Application penetration testing; Packet analysis; Penetration testing,Linux,Smbget; Wireshark,Hack the island of Motunui.
Frank and Herby try again.....,https://tryhackme.com/room/frankandherbytryagain,medium,challenge,60,2640,2022-06-03,Red,Exploitation; File system navigation; Port scanning; Reverse shell techniques,Linux,,Frank and Herby still don't know how to use kubernetes correctly.
Spring AI: CVE-2026-22738,https://tryhackme.com/room/springaicve202622738,medium,walkthrough,45,2549,2026-04-02,,,,,Exploit CVE-2026-22738: unauthenticated RCE via SpEL injection in Spring AI's SimpleVectorStore.
Token City,https://tryhackme.com/room/tokencity,medium,challenge,90,2475,2026-05-14,,,,,A collection of medium difficulty challenges available as part of our public 2026: An AI Odyssey CTF event.
Overflow The Jackpot CTF,https://tryhackme.com/room/thm-ctf-jackpot-overflow,medium,challenge,45,2434,2026-08-07,,,,,THM Defcon CTF Event
Chain Reaction,https://tryhackme.com/room/chainreaction-bt,medium,walkthrough,75,2115,2026-04-11,Blue,Log analysis; Malware analysis; Threat hunting,Linux,,Hunt down an Axios chain attack before the chain reaction spreads.
KQL (Kusto): Basic Queries,https://tryhackme.com/room/kqlkustobasicqueries,easy,walkthrough,60,2042,2025-03-05,Blue,SIEM engineering; Security analysis; Security operations; Threat hunting,Azure, Microsoft Sentinel,This room is designed to work you through basic KQL queries for analyzing security logs.
Introduction to Windows IR,https://tryhackme.com/room/introtowindowsir,easy,walkthrough,60,1961,2026-09-08,Blue,Incident handling; Incident response,Active Directory; Windows,,Begin your journey into incident response for Windows and Active Directory.
Cypheron,https://tryhackme.com/room/cypheron,insane,challenge,60,1664,2026-05-14,,,,,A collection of insane difficulty challenges available as part of our public 2026: An AI Odyssey CTF event.
Injectus IX,https://tryhackme.com/room/injectusix,hard,challenge,60,1494,2026-05-14,,,,,A collection of hard difficulty challenges available as part of our public 2026: An AI Odyssey CTF event.
Detecting Persistent DLL Attacks,https://tryhackme.com/room/detectingpersistentdllattacks,hard,walkthrough,120,533,2026-09-08,Blue,Detection engineering; Digital forensics; Endpoint security monitoring; Incident response; Log analysis; Security operations; Threat hunting; Timeline analysis,Windows,AutoRun; MFTCmd.exe; PowerShell; Sysinternals Suite,Hunt registered DLL persistence in Windows registry extension points across an offline triage collection
"Silver, Golden, and Diamond Tickets Detection",https://tryhackme.com/room/krbticketattacks,hard,walkthrough,90,297,2026-09-08,Blue,Active Directory pentesting; Defensive security; Detection engineering; Incident response; Log analysis,Active Directory,Mimikatz; Rubeus,Detect and investigate forged Kerberos tickets from the artifacts they leave behind.
RDP Lateral Movement Analysis,https://tryhackme.com/room/rdplateralmovementanalysis,medium,walkthrough,90,285,2026-09-08,Blue,Detection engineering; Digital forensics; Incident response; Lateral movement; Log analysis; Log correlation; Registry forensics; Threat hunting; Timeline analysis,Active Directory; Windows,Jumplist Explorer; PECmd.exe; Registry Explorer,Trace RDP lateral movement through Windows event logs and on-host triage artifacts.
Detecting LSASS Memory Dumping,https://tryhackme.com/room/detectinglsassmemorydumping,medium,walkthrough,60,204,2026-09-08,Blue,Digital forensics; Incident response; Log analysis,Windows,Mimikatz,Learn how to identify and defend against LSASS memory dumping with logs and artifacts.
